Last name, First name, Full name, Countries, born, died
Petrosian, Davit G., Davit G. Petrosian, Armenia, 1984,
Palac, Mladen, Mladen Palac, Croatia, 1971,
Dückstein, Andreas, Andreas Dückstein, "Hungary, Austria", 1927,
Zatulovskaya, Tatiana, Tatiana Zatulovskaya, "Azerbaijan, Russia, Israel", 1935,  2017
Wohl, Aleksandar, Aleksandar Wohl, Australia, 1963,
Shirazi, Kamran, Kamran Shirazi, "Iran, US, France", 1952, 
Gasanov, Eldar, Eldar Gasanov, Ukraine, 1982,
Blumin, Boris, Boris Blumin, "Russia, Canada, US", 1907, 1998
Schories, Georg, Georg Schories, Germany, 1874, 1934
Rice, Isaac, Isaac Rice, US, 1850, 1915
"Bardeleben, von", Curt, Curt von Bardeleben, Germany, 1861, 1924
Stanec, Nikolaus, Nikolaus Stanec, Austria, 1968,
Ascharin, Andreas, Andreas Ascharin, "Estonia, Latvia", 1843, 1896
Greiff, Boris De, Boris De Greiff, Colombia, 1930, 2011
Silman, Jeremy, Jeremy Silman, US, 1954,
Leonardo, Giovanni, Giovanni Leonardo, Italy, 1542, 1587
Riumin, Nikolai, Nikolai Riumin, Russia, 1908, 1942
Kraemer, Adolf, Adolf Kraemer, Germany, 1898, 1972
Goltz, Alexander Ferdinand von der, Alexander Ferdinand von der Goltz, Germany, 1819, 1858
Dimer, Julius, Julius Dimer, Germany, 1871, 1945
Zemgalis, Elmārs, Elmārs Zemgalis, "Latvia, US", 1923,  2014
Malaniuk, Vladimir, Vladimir Malaniuk, "Russia, Ukraine", 1957, 
Gundersen, Gunnar, Gunnar Gundersen, "France, Norway, Australia", 1882, 1943
Kelly, Brian, Brian Kelly, Ireland, 1978,
Zvjaginsev, Vadim, Vadim Zvjaginsev, Russia, 1976,
